start_sta_name,usertype,tripduration_min,tripduration_max,tripduration_mean,tripduration_sum,tripduration_count,birth_year_min,birth_year_max,start_sta_lat_min,start_sta_lon_min
8 Ave & W 31 St,Customer,62,112247,1357.872927031509,13100758,9648,1935,2003,40.7505853470215,-73.9946848154068
8 Ave & W 31 St,Subscriber,61,495621,769.4756323089475,84880857,110310,1887,2003,40.7505853470215,-73.9946848154068
8 Ave & W 33 St,Customer,61,1358130,1962.870542347697,21136190,10768,1900,2003,40.751551,-73.993934
8 Ave & W 33 St,Subscriber,61,152715,746.9226857887875,63017867,84370,1885,2003,40.751551,-73.995
8 Ave & W 52 St,Customer,61,1386068,1873.5377612514426,14611721,7799,1934,2003,40.76370739,-73.9851615
8 Ave & W 52 St,Subscriber,61,884729,778.1540348345873,37752143,48515,1888,2003,40.76370739,-73.9851615
9 Ave & W 18 St,Customer,61,182816,1432.23672985782,6044039,4220,1946,2003,40.74317449,-74.00366443
9 Ave & W 18 St,Subscriber,61,2228172,839.8990863276929,20499417,24407,1888,2003,40.743,-74.00399999999999
9 Ave & W 22 St,Customer,61,541974,1785.7513654096228,6866214,3845,1900,2003,40.7454973,-74.00197139
9 Ave & W 22 St,Subscriber,61,459828,637.4603276729704,27741636,43519,1888,2002,40.7454973,-74.00197139
9 Ave & W 28 St,Customer,64,160215,1313.5807578138642,7522877,5727,1947,2003,40.74937024193277,-73.99923384189607
9 Ave & W 28 St,Subscriber,61,329978,761.8411154845514,29613526,38871,1896,2003,40.74937024193277,-73.99923384189607
9 Ave & W 45 St,Customer,62,340849,1546.7858883899935,12057196,7795,1893,2003,40.76019252,-73.9912551
9 Ave & W 45 St,Subscriber,61,860554,805.5876568999983,44733477,55529,1885,2003,40.76019252,-73.9912551
9 St & 44 Rd,Customer,69,841144,2139.0877318116977,2999001,1402,1947,2003,40.74966,-73.9521
9 St & 44 Rd,Subscriber,67,51040,771.5762922465209,3104823,4024,1887,2003,40.74966,-73.9521
Adam Clayton Powell Blvd & W 115 St,Customer,65,2704549,10650.717391304348,9308727,874,1948,2002,40.802535,-73.9532423
Adam Clayton Powell Blvd & W 115 St,Subscriber,61,193557,779.7434708323163,3194609,4097,1942,2003,40.802535,-73.9532423
Adam Clayton Powell Blvd & W 118 St,Customer,69,703945,7071.580235720761,7799953,1103,1960,2003,40.804372,-73.951475
Adam Clayton Powell Blvd & W 118 St,Subscriber,61,709173,988.5727584517393,6053031,6123,1943,2003,40.804372,-73.951475
Adam Clayton Powell Blvd & W 123 St,Customer,66,1540116,7304.164754953076,7004694,959,1943,2003,40.8078316,-73.949373
Adam Clayton Powell Blvd & W 123 St,Subscriber,69,713695,983.2360049321825,7974044,8110,1936,2002,40.8078316,-73.949373
Adam Clayton Powell Blvd & W 126 St,Customer,71,3100420,17316.213770491802,26407226,1525,1954,2003,40.809495347779475,-73.94776493310928
Adam Clayton Powell Blvd & W 126 St,Subscriber,62,2437334,1839.3953994404726,11834670,6434,1935,2002,40.809495347779475,-73.94776493310928
Adelphi St & Myrtle Ave,Customer,63,978560,2161.3286908077994,3103668,1436,1937,2003,40.69308257,-73.97178913
Adelphi St & Myrtle Ave,Subscriber,61,763517,656.9286107441656,11935079,18168,1932,2002,40.69308257,-73.97178913
Albany Ave & Fulton St,Customer,80,2679841,29084.505636070855,18061478,621,1952,2003,40.6800105,-73.938475
Albany Ave & Fulton St,Subscriber,63,1550744,2030.9906382978722,4772828,2350,1917,2002,40.6800105,-73.938475
Allen St & Hester St,Customer,61,1057023,1560.4834011565645,7285897,4669,1932,2003,40.71605866,-73.99190759
Allen St & Hester St,Subscriber,61,1334968,813.9955510221798,37507287,46078,1889,2003,40.716,-73.992
Allen St & Rivington St,Customer,61,879429,1775.5538628944505,13053872,7352,1900,2003,40.72019576,-73.98997825
Allen St & Rivington St,Subscriber,61,437088,742.7086065836413,34768418,46813,1886,2003,40.719,-73.98997825
Allen St & Stanton St,Customer,61,1891806,2049.9937492339745,16725899,8159,1945,2003,40.722055,-73.989111
Allen St & Stanton St,Subscriber,61,501572,761.5108809924307,43460949,57072,1887,2003,40.722055,-73.989111
Amsterdam Ave & W 119 St,Customer,74,317892,1974.92,1925547,975,1950,2003,40.8086249,-73.9596214
Amsterdam Ave & W 119 St,Subscriber,63,587989,895.582530949106,6510885,7270,1924,2003,40.8086249,-73.9596214
Amsterdam Ave & W 125 St,Customer,61,1964853,11631.666300164925,21158001,1819,1945,2003,40.813358,-73.956461
Amsterdam Ave & W 125 St,Subscriber,61,1763801,1715.9458178123941,10134376,5906,1938,2003,40.813358,-73.956461
Amsterdam Ave & W 66 St,Customer,63,146295,1808.0438908659548,3048362,1686,1940,2002,40.7746671,-73.98470567
Amsterdam Ave & W 66 St,Subscriber,62,146742,796.7041739130435,13743147,17250,1907,2003,40.7746671,-73.98470567
Amsterdam Ave & W 73 St,Customer,61,153733,1456.3140028288544,7207298,4949,1942,2003,40.779668090073116,-73.98093044757842
Amsterdam Ave & W 73 St,Subscriber,61,705734,778.2402877983034,39263779,50452,1888,2003,40.779668090073116,-73.98093044757842
Amsterdam Ave & W 79 St,Customer,61,2416216,2567.5786701777483,7800304,3038,1947,2003,40.7829391,-73.9786517
Amsterdam Ave & W 79 St,Subscriber,61,777305,799.7690101882464,23706753,29642,1888,2003,40.7829391,-73.9786517
Amsterdam Ave & W 82 St,Customer,62,230099,1813.9316157760813,5703001,3144,1943,2002,40.78524672,-73.97667321
Amsterdam Ave & W 82 St,Subscriber,61,78329,779.6016114592659,22641190,29042,1888,2003,40.78524672,-73.97667321
Astoria Park S & Shore Blvd,Customer,64,93137,1417.7879581151833,2166380,1528,1948,2003,40.7767,-73.927631
Astoria Park S & Shore Blvd,Subscriber,61,344849,855.8594055109568,3944656,4609,1900,2003,40.7767,-73.927631
Atlantic Ave & Fort Greene Pl,Customer,65,2244834,3392.081378820185,9545317,2814,1947,2003,40.68382604,-73.97632328
Atlantic Ave & Fort Greene Pl,Subscriber,61,47657,683.7999863658055,10030662,14669,1893,2003,40.68382604,-73.97632328
Atlantic Ave & Furman St,Customer,62,754244,2031.8896578741185,15560211,7658,1900,2003,40.69165183,-73.99997859999999
Atlantic Ave & Furman St,Subscriber,63,211145,892.0398901098902,16235126,18200,1885,2003,40.69165183,-73.99997859999999
Avenue C & E 18 St,Customer,63,675757,1603.963411424059,6093457,3799,1948,2003,40.730563000000004,-73.973984
Avenue C & E 18 St,Subscriber,61,370879,904.5300333252052,22256866,24606,1890,2003,40.730563000000004,-73.973984
Avenue D & E 12 St,Customer,61,996994,2565.285520054385,3773535,1471,1911,2003,40.72580614,-73.97422494
Avenue D & E 12 St,Subscriber,62,274760,893.6458737151248,15214321,17025,1934,2003,40.72580614,-73.97422494
Avenue D & E 3 St,Customer,64,278528,1787.2133084577115,2873839,1608,1955,2003,40.72082834,-73.97793172
Avenue D & E 3 St,Subscriber,61,917398,887.2851117505617,22509536,25369,1889,2003,40.72082834,-73.97793172
Avenue D & E 8 St,Customer,67,352422,1621.4997386304235,3101929,1913,1945,2003,40.72368361,-73.97574813
Avenue D & E 8 St,Subscriber,61,990251,976.563634034923,22874050,23423,1919,2003,40.72368361,-73.97574813
Baltic St & 5 Ave,Customer,82,540595,1973.982423101067,3144554,1593,1948,2003,40.6795766,-73.97854971
Baltic St & 5 Ave,Subscriber,62,244378,724.7275567125325,9743962,13445,1888,2003,40.6795766,-73.97854971
Bank St & Hudson St,Customer,61,494135,1579.1701870850936,7850055,4971,1927,2003,40.73652889,-74.00618026
Bank St & Hudson St,Subscriber,61,373910,719.8431198019526,25879080,35951,1889,2003,40.73652889,-74.007
Bank St & Washington St,Customer,67,437025,1666.85177316555,10199466,6119,1938,2003,40.7361967,-74.00859207
Bank St & Washington St,Subscriber,61,78268,778.7318943108157,23666441,30391,1887,2003,40.7361967,-74.00859207
Banker St & Meserole Ave,Customer,64,77570,1312.471489883507,2140641,1631,1937,2002,40.72606,-73.95621
Banker St & Meserole Ave,Subscriber,61,428583,781.7895619214229,10725371,13719,1887,2003,40.72606,-73.95621
