hour_of_day,date,gender,tripduration_min,tripduration_max,tripduration_mean,tripduration_sum,tripduration_count
00,2019-02-19,1,76,4304,593.6507936507936,74800,126
00,2019-02-19,2,77,4044,760.0714285714286,10641,14
00,2019-02-20,0,159,1321,756.8333333333334,4541,6
00,2019-02-20,1,95,5284,590.8978102189781,80953,137
00,2019-02-20,2,138,1534,608.6666666666666,9130,15
00,2019-02-21,0,552,552,552.0,552,1
00,2019-02-21,1,69,2876,527.0882352941177,17921,34
00,2019-02-21,2,360,870,611.75,2447,4
00,2019-02-22,0,239,69281,5380.875,86094,16
00,2019-02-22,1,62,3484,652.3527131782946,168307,258
00,2019-02-22,2,140,2383,652.7241379310345,37858,58
00,2019-02-23,0,161,1785,939.2666666666667,14089,15
00,2019-02-23,1,68,3222,676.2347826086957,233301,345
00,2019-02-23,2,83,2301,651.0,51429,79
00,2019-02-24,0,214,1412,764.9090909090909,8414,11
00,2019-02-24,1,72,3183,666.3739130434783,153266,230
00,2019-02-24,2,116,2857,804.2045454545455,35385,44
00,2019-02-25,0,1133,1800,1324.25,5297,4
00,2019-02-25,1,75,2783,521.8776978417267,72541,139
00,2019-02-25,2,222,1840,650.9047619047619,13669,21
00,2019-02-26,0,214,36954,12480.0,37440,3
00,2019-02-26,1,63,2508,567.0900900900901,62947,111
00,2019-02-26,2,212,1929,719.0,12223,17
00,2019-02-27,0,291,555,423.0,846,2
00,2019-02-27,1,70,3188,614.632,76829,125
00,2019-02-27,2,239,4942,861.7142857142857,12064,14
00,2019-02-28,0,197,3236,1779.0,7116,4
00,2019-02-28,1,79,3282,555.4764705882353,94431,170
00,2019-02-28,2,116,2116,603.6451612903226,18713,31
00,2019-03-01,0,341,2287,948.75,3795,4
00,2019-03-01,1,74,3198,665.6350710900474,140449,211
00,2019-03-01,2,84,4845,655.15625,20965,32
00,2019-03-02,0,327,1553,772.8333333333334,4637,6
00,2019-03-02,1,108,67368,1038.4068627450981,211835,204
00,2019-03-02,2,140,1991,614.8666666666667,27669,45
00,2019-03-03,0,133,1694,828.4705882352941,14084,17
00,2019-03-03,1,61,47382,887.0524344569288,236843,267
00,2019-03-03,2,124,2251,684.9692307692308,44523,65
00,2019-03-04,0,715,715,715.0,715,1
00,2019-03-04,1,66,3445,674.3793103448276,19557,29
00,2019-03-04,2,415,1025,720.0,1440,2
00,2019-03-05,0,263,880,668.3333333333334,2005,3
00,2019-03-05,1,61,2585,624.9621212121212,82495,132
00,2019-03-05,2,139,980,530.0,11130,21
00,2019-03-06,0,84,1831,684.0,6156,9
00,2019-03-06,1,79,3259,619.3333333333334,74320,120
00,2019-03-06,2,205,2396,755.0,19630,26
00,2019-03-07,0,227,995,636.25,2545,4
00,2019-03-07,1,83,3234,573.6466165413534,76295,133
00,2019-03-07,2,207,1236,503.9,5039,10
00,2019-03-08,0,109,375,244.85714285714286,1714,7
00,2019-03-08,1,76,1804,539.4723618090452,107355,199
00,2019-03-08,2,127,2233,565.9142857142857,19807,35
00,2019-03-09,0,294,3091,1001.3529411764706,17023,17
00,2019-03-09,1,61,30605,726.3973333333333,272399,375
00,2019-03-09,2,68,2403,653.4929577464789,46398,71
00,2019-03-10,0,165,1768,774.9411764705883,13174,17
00,2019-03-10,1,62,2829,693.0,246015,355
00,2019-03-10,2,76,2549,672.390243902439,55136,82
00,2019-03-11,0,299,2808,1004.5,12054,12
00,2019-03-11,1,70,47000,952.2733333333333,142841,150
